Tositenumero;Kirjauspvm;Tili;Tilin nimi;Kustannuspaikka;Kustannuspaikan nimi;Toimittajanro;Toimittajan nimi;Y-Tunnus;Euroa
8003150;5.11.2024 00:00;4341;4341 Toimisto- ja as.tuntijapalvelu;1102;1102 Kaupunginvaltuusto;697;Tutkimustie Oy;2010879-9     ;225
8006803;4.12.2024 00:00;4341;4341 Toimisto- ja as.tuntijapalvelu;1102;1102 Kaupunginvaltuusto;697;Tutkimustie Oy;2010879-9     ;1230
8011492;14.1.2025 00:00;4341;4341 Toimisto- ja as.tuntijapalvelu;1102;1102 Kaupunginvaltuusto;697;Tutkimustie Oy;2010879-9     ;219
8001661;21.10.2024 00:00;4342;4342 ICT-palvelut;1102;1102 Kaupunginvaltuusto;460;Stremia Oy;2377558-9     ;1550
8003143;5.11.2024 00:00;4342;4342 ICT-palvelut;1102;1102 Kaupunginvaltuusto;37;Hämeenlinnan Toimistotarvike Petri;1141840-2     ;140
8003145;5.11.2024 00:00;4342;4342 ICT-palvelut;1102;1102 Kaupunginvaltuusto;178;Telia Finland Oyj;1475607-9     ;191,25
8004561;15.11.2024 00:00;4342;4342 ICT-palvelut;1102;1102 Kaupunginvaltuusto;460;Stremia Oy;2377558-9     ;2050
8006477;2.12.2024 00:00;4342;4342 ICT-palvelut;1102;1102 Kaupunginvaltuusto;178;Telia Finland Oyj;1475607-9     ;193,8
8008406;17.12.2024 00:00;4342;4342 ICT-palvelut;1102;1102 Kaupunginvaltuusto;460;Stremia Oy;2377558-9     ;1550
8000818;11.10.2024 00:00;4412;4412 Ravitsemispalvelut;1102;1102 Kaupunginvaltuusto;106;Verkatehdas Oy;2069302-7     ;2276,23
8000960;14.10.2024 00:00;4412;4412 Ravitsemispalvelut;1102;1102 Kaupunginvaltuusto;83;R. Holappa Oy;2071187-0     ;789,47
8001667;21.10.2024 00:00;4412;4412 Ravitsemispalvelut;1102;1102 Kaupunginvaltuusto;23;HPK Liiga Oy;2064101-6     ;1126,5
8001659;21.10.2024 00:00;4412;4412 Ravitsemispalvelut;1102;1102 Kaupunginvaltuusto;83;R. Holappa Oy;2071187-0     ;122,81
8004562;15.11.2024 00:00;4412;4412 Ravitsemispalvelut;1102;1102 Kaupunginvaltuusto;83;R. Holappa Oy;2071187-0     ;1908,77
8006092;26.11.2024 00:00;4412;4412 Ravitsemispalvelut;1102;1102 Kaupunginvaltuusto;83;R. Holappa Oy;2071187-0     ;263,16
8008746;18.12.2024 00:00;4412;4412 Ravitsemispalvelut;1102;1102 Kaupunginvaltuusto;83;R. Holappa Oy;2071187-0     ;122,81
8008745;18.12.2024 00:00;4412;4412 Ravitsemispalvelut;1102;1102 Kaupunginvaltuusto;83;R. Holappa Oy;2071187-0     ;552,63
8000326;7.10.2024 00:00;4420;4420 Matkustuspalvelut;1102;1102 Kaupunginvaltuusto;317;HÄMEBUS OY;2630676-1     ;517
8009303;20.12.2024 00:00;4442;4442 Kulttuuri-ja liikuntapalvelut;1102;1102 Kaupunginvaltuusto;292;Museovirasto;0292559-2     ;119,52
8009303;20.12.2024 00:00;4442;4442 Kulttuuri-ja liikuntapalvelut;1102;1102 Kaupunginvaltuusto;292;Museovirasto;0292559-2     ;306
8009967;2.1.2025 00:00;4442;4442 Kulttuuri-ja liikuntapalvelut;1102;1102 Kaupunginvaltuusto;240;Musiikkiteatteri Spektri Oy;3205148-6     ;75,7
8009967;2.1.2025 00:00;4442;4442 Kulttuuri-ja liikuntapalvelut;1102;1102 Kaupunginvaltuusto;240;Musiikkiteatteri Spektri Oy;3205148-6     ;827,27
8000818;11.10.2024 00:00;4470;4470 Muut palvelut;1102;1102 Kaupunginvaltuusto;106;Verkatehdas Oy;2069302-7     ;178,49
8009294;20.12.2024 00:00;4520;4520 Elintarvikkeet;1102;1102 Kaupunginvaltuusto;221;Kanresta Oy;0986855-1     ;1902,11
8009294;20.12.2024 00:00;4520;4520 Elintarvikkeet;1102;1102 Kaupunginvaltuusto;221;Kanresta Oy;0986855-1     ;3462,32
8006375;29.11.2024 00:00;4600;4600 Muu materiaali;1102;1102 Kaupunginvaltuusto;65;Mastermark Oy;0250487-8     ;80
8000818;11.10.2024 00:00;4820;4820 Rakennusten ja huoneist. vuokr;1102;1102 Kaupunginvaltuusto;106;Verkatehdas Oy;2069302-7     ;990
8009303;20.12.2024 00:00;4820;4820 Rakennusten ja huoneist. vuokr;1102;1102 Kaupunginvaltuusto;292;Museovirasto;0292559-2     ;358,57
8002533;29.10.2024 00:00;4350;4350 Painatukset,ilmoitukset,markk.;1103;1103 Kaupunginhallitus;28;Hämeen Media Oy;3221753-8     ;221,43
8010528;7.1.2025 00:00;4350;4350 Painatukset,ilmoitukset,markk.;1103;1103 Kaupunginhallitus;28;Hämeen Media Oy;3221753-8     ;242,34
8008404;17.12.2024 00:00;4410;4410 Majoituspalvelut;1103;1103 Kaupunginhallitus;92;Scandic Hotels Oy;1447914-7     ;162,36
8000281;4.10.2024 00:00;4412;4412 Ravitsemispalvelut;1103;1103 Kaupunginhallitus;93;SEB Kort Bank AB, Helsingin sivulii;1597729-5     ;20,56
8000465;8.10.2024 00:00;4412;4412 Ravitsemispalvelut;1103;1103 Kaupunginhallitus;23;HPK Liiga Oy;2064101-6     ;1018
8000817;11.10.2024 00:00;4412;4412 Ravitsemispalvelut;1103;1103 Kaupunginhallitus;83;R. Holappa Oy;2071187-0     ;332,89
8002116;24.10.2024 00:00;4412;4412 Ravitsemispalvelut;1103;1103 Kaupunginhallitus;83;R. Holappa Oy;2071187-0     ;1113,16
8002531;29.10.2024 00:00;4412;4412 Ravitsemispalvelut;1103;1103 Kaupunginhallitus;23;HPK Liiga Oy;2064101-6     ;1836,2
